ITEMID;CATEGORY1;CATEGORY1_ID;CATEGORY2;CATEGORY2_ID;CATEGORY3;CATEGORY3_ID;CATEGORY4;CATEGORY4_ID;BRAND;ITEMCODE;ITEMNAME
32;Meat-Chicken;62430241;Poultry;16-601126124;Chicken;73-20121512;Piece Fillet;154-92232997;MUDURNU;68;MUDURNU TABAKLI DRS. HALF FILLET
33;Meat-Chicken;62430241;Poultry;16-601126124;Chicken;73-20121512;Piece Wing;154-92602327;MUDURNU;69;SPECIAL WING WITH MUDURNU PLATE
34;Meat-Chicken;62430241;Poultry;16-601126124;Chicken;73-20121512;Whole Chickens;154-4272938;BANVIT;71;BANVIT TURKEY WHOLE
35;Meat-Chicken;62430241;Processed Meat;16-291013124;Sausage (Sucuk);33-2225325;Beef Sucuk;60-6527166112;NAMET;74;NAMET BEEF BATON SAUSAGE
36;Food;8125199;Salt-Spices;18-971124354;Spices;46-21101;Currants;96-60101112112;NERGIS;75;BULK CURRANTS 12.5 KG.
37;Food;8125199;Salt-Spices;18-971124354;Spices;46-21101;Chili Flakes;96-923144;NERGIS;76;CAST CHILI PEPPER 10 KG.
38;Home;627999999;Books-Magazines-Stationery;17-60299723;Stationery;37-14122124;Stationery Supplies;70-60239970;KIRTASIYELER;80;MONAMI DUST FREE ERASER LARGE
39;Home;627999999;Electric-Electronic;17-24312460;Battery;35-20121599;Pencil Batteries;64-60612924;KODAK;81;BATTERY KODAK AA*4 XTRALIFE ALKALINE PEN
40;Toy;182825173;Educational Toys;25-43246023;Toys;78-18282517;Baby Toy;158-416611223;OYUNCAK;87;LUCK. RED LIGHT AND SOUND STAR
41;Home;627999999;Books-Magazines-Stationery;17-60299723;Stationery;37-14122124;Stationery Supplies;70-60239970;KIRTASIYELER;88;LETS WATERCOLOR 12PCS
42;Toy;182825173;Educational Toys;25-43246023;Toys;78-18282517;Baby Toy;158-416611223;OYUNCAK;89;TOY TANK WITH BATTERY
43;Home;627999999;Kitchen Utensils;17-6111297100;Kitchen Utensils;39-1625247;Kitchenware;73-43382329;UDAG;90;PRT. UDAG WA0028 TRIPLE TULIP
44;Home;627999999;Kitchen Utensils;17-6111297100;Kitchen Utensils;39-1625247;Plastic Snack Bowls;73-92973824;UDAG;91;PRT UDAG WA0037 SNACK BOWL
45;Home;627999999;Textile-Clothing-Accessories;12-972460101;Laundry;26-31161;Women’s Underwear;39-42723101;KOZA;93;KOZA 217 SHORT TUNIC M
46;Toy;182825173;Educational Toys;25-43246023;Toys;78-18282517;Baby Toy;158-416611223;OYUNCAK;94;TOY GUITAR WITH BATTERY
47;Home;627999999;Books-Magazines-Stationery;17-60299723;Stationery;37-14122124;Stationery Supplies;70-60239970;KIRTASIYELER;101;FANTASIA 36 COLOR DRY PAINT FULL SIZE METAL BOX
48;Cleaning;246161229;Fragrances;15-609060112;Air Fresheners;88-185199;Air Fresheners;193-60239031;CARPEX;104;CARPEC TYPES AIR CONDITIONING FRAGRANCE APPLE
49;Home;627999999;Electric-Electronic;17-24312460;Battery;35-20121599;Power Bank;64-9285754;KODAK;106;BATTERY KODAK POWER BANK 5200 MAH
50;Home;627999999;Electric-Electronic;17-24312460;Battery;35-20121599;Small Batteries;64-293816629;KODAK;107;BATTERY KODAK XTRA HEAVY AAA*4 SLIM
51;Toy;182825173;Educational Toys;25-43246023;Toys;78-18282517;Baby Toy;158-416611223;OYUNCAK;113;LUMINOUS WEAPON
52;Toy;182825173;Educational Toys;25-43246023;Toys;78-18282517;Baby Toy;158-416611223;OYUNCAK;114;TOY BOX. 2 ACES WITH HEARTS. AXLE. MANNEQUIN
53;Greengrocer / Produce;16117127;Greens;23-992410129;Fresh;74-241296;Lettuce;155-61753190;MAROL;115;GOLBASI MAROL BELLY
54;Greengrocer / Produce;16117127;Vegetable;23-10124443;Fresh;74-241296;Pepper;87-447524;BIBER;118;PEPPER POINTED BRISTLE
55;Greengrocer / Produce;16117127;Greens;23-992410129;Fresh;74-241296;Radish;155-977592112;TURP;120;RADISH BLACK
56;Greengrocer / Produce;16117127;Fruit;23-612499117;Fresh;74-241296;Orange;114-92752323;PORTAKAL;122;ORANGE WASINGTON
57;Greengrocer / Produce;16117127;Fruit;23-612499117;Fresh;74-241296;Apple;155-24612331;ELMA;123;APPLE ARAPKIZI
58;Cosmetics;141829166;Personal Care;19-602910129;Skin Care;22-3121524;Cleansing Gel-Cream-Peeling;33-97436193;NEUTROGENA;128;NT ONE STEP MAK. TEM. GEL
59;Toy;182825173;Educational Toys;25-43246023;Toys;78-18282517;Baby Toy;158-416611223;OYUNCAK;135;AIRBUS AIRPLANE WITH TOY BATTERY LIGHTS
60;Home;627999999;Books-Magazines-Stationery;17-60299723;Stationery;37-14122124;Stationery Supplies;70-60239970;KIRTASIYELER;136;PRESENTATION FILE 40 PIECES
61;Home;627999999;Books-Magazines-Stationery;17-60299723;Stationery;37-14122124;Stationery Supplies;70-60239970;KIRTASIYELER;137;DESK CALCULATOR
62;Home;627999999;Books-Magazines-Stationery;17-60299723;Stationery;37-14122124;Stationery Supplies;70-60239970;KIRTASIYELER;138;LETS STEEL FLASK 230 ML.
63;Home;627999999;Textile-Clothing-Accessories;12-972460101;Laundry;26-31161;Women’s Underwear;39-42723101;KOZA;139;KOZA 123 FEMALE BADI M
64;Meat-Chicken;62430241;Poultry;16-601126124;Chicken;73-20121512;Piece Fillet;154-92232997;MUDURNU;166;SKINLESS FILLET WITH MUDURNU PLATE
65;Breakfast Products;14110271;Milk-Yogurt-Cheese;20-1011129754;Cheeses;59-2062817;Special Cheeses;121-90432431;KARLIDAG;173;KARLIDAG BROKEN CHEESE 1 KG
66;Breakfast Products;14110271;Milk-Yogurt-Cheese;20-1011129754;Cheeses;59-2062817;Cheese Sticks;121-38602429;KARLIDAG;174;KARLIDAG CHEESE STICK KG
67;Cosmetics;141829166;Personal Care;19-602910129;Skin Care;22-3121524;Cleansing Gel-Cream-Peeling;33-97436193;NEUTROGENA;176;NEUT. DEEP CLEAN TEM. GEL 200 ML POMI
68;Home;627999999;Books-Magazines-Stationery;17-60299723;Stationery;37-14122124;Stationery Supplies;70-60239970;KIRTASIYELER;178;MONAMI DUST FREE ERASER SMALL
69;Home;627999999;Electric-Electronic;17-24312460;Battery;35-20121599;Pencil Batteries;64-60612924;KODAK;179;BATTERY KODAK AA*4 MAX ALKALINE PEN
70;Home;627999999;Books-Magazines-Stationery;17-60299723;Stationery;37-14122124;Stationery Supplies;70-60239970;KIRTASIYELER;184;MODELL STUDENT BAG
71;Toy;182825173;Educational Toys;25-43246023;Toys;78-18282517;Baby Toy;158-416611223;OYUNCAK;186;ROBOT SET IN TOY COLOR CHART
72;Toy;182825173;Educational Toys;25-43246023;Toys;78-18282517;Baby Toy;158-416611223;OYUNCAK;187;TOY BOX. KALPLIAKS. MAN. BABY
73;Home;627999999;Books-Magazines-Stationery;17-60299723;Stationery;37-14122124;Stationery Supplies;70-60239970;KIRTASIYELER;188;OFICA DOUBLE-SIDED TAPE 38MMX25
74;Greengrocer / Produce;16117127;Greens;23-992410129;Fresh;74-241296;Lettuce;155-61753190;MAROL;191;MAROL LOLOROSO
75;Greengrocer / Produce;16117127;Vegetable;23-10124443;Fresh;74-241296;Tomato;92-656197101;DOMATES;193;TOMATO BAZAAR
76;Cleaning;246161229;Fragrances;15-609060112;Air Fresheners;88-185199;Air Fresheners;193-60239031;CARPEX;200;CARPEX DOUBLE ROOT. AIR CONDITIONING SNOW. FRUIT/VAN
77;Cleaning;246161229;Fragrances;15-609060112;Air Fresheners;88-185199;Air Fresheners;193-60239031;CARPEX;205;CARPEX TYPES AIR CONDITIONING FRAGRANCE WILD CHERRY
78;Cosmetics;141829166;Body-Hand Care;22-11711238112;Creams;71-1421616;Foot Care;33-232316623;NEUTROGENA;206;NEUT. FOOT CARE CREAM 50 ML
79;Home;627999999;Electric-Electronic;17-24312460;Battery;35-20121599;Pencil Batteries;64-60612924;KODAK;207;BATTERY KODAK XTRA HEAVY PEN 4PCS
80;Home;627999999;Electric-Electronic;17-24312460;Battery;35-20121599;Pencil Batteries;64-60612924;KODAK;208;BATTERY KODAK AA 6+2 MAX ALKALINE PEN
81;Toy;182825173;Educational Toys;25-43246023;Toys;78-18282517;Baby Toy;158-416611223;OYUNCAK;212;TOY BOX. 2 PCS FROZEN BABY
82;Home;627999999;Books-Magazines-Stationery;17-60299723;Stationery;37-14122124;Stationery Supplies;70-60239970;KIRTASIYELER;213;CEMRE MIDDLE ATLAS
83;Toy;182825173;Educational Toys;25-43246023;Toys;78-18282517;Baby Toy;158-416611223;OYUNCAK;215;TOY EGG PONY
84;Home;627999999;Books-Magazines-Stationery;17-60299723;Stationery;37-14122124;Stationery Supplies;70-60239970;KIRTASIYELER;216;REDUNDANT METAL SHARPENER
85;Greengrocer / Produce;16117127;Greens;23-992410129;Fresh;74-241296;Radish;155-977592112;TURP;218;RADISH BUNDLE
86;Toy;182825173;Educational Toys;25-43246023;Toys;78-18282517;Baby Toy;158-416611223;OYUNCAK;221;RACKET SET
87;Greengrocer / Produce;16117127;Vegetable;23-10124443;Fresh;74-241296;Tomato;92-656197101;DOMATES;222;TOMATO PICKLE
88;Greengrocer / Produce;16117127;Vegetable;23-10124443;Fresh;74-241296;Pepper;87-447524;BIBER;223;PEPPER POINTED YELLOW PICKLE BOWL
89;Cleaning;246161229;Fragrances;15-609060112;Air Fresheners;88-185199;Air Fresheners;193-60239031;CARPEX;226;CARPEX TYPES AIR CONDITIONING FRAGRANCE VANILLA
90;Home;627999999;Books-Magazines-Stationery;17-60299723;Stationery;37-14122124;Stationery Supplies;70-60239970;KIRTASIYELER;230;THE COURSE IS PROG. LABEL
91;Toy;182825173;Educational Toys;25-43246023;Toys;78-18282517;Baby Toy;158-416611223;OYUNCAK;232;TOY BATTERY SOUND PLANE
92;Home;627999999;Books-Magazines-Stationery;17-60299723;Stationery;37-14122124;Stationery Supplies;70-60239970;KIRTASIYELER;233;LET S FUNLAND 14 TRACKS
93;Greengrocer / Produce;16117127;Fruit;23-612499117;Fresh;74-241296;Orange;114-92752323;PORTAKAL;238;KUMQUAT PACKAGE
94;Greengrocer / Produce;16117127;Vegetable;23-10124443;Fresh;74-241296;Potato;87-929797101;PATATES;239;POTATOES FRESH
95;Greengrocer / Produce;16117127;Vegetable;23-10124443;Fresh;74-241296;Onion;155-101702723;SOGAN;240;ONION CURE
96;Greengrocer / Produce;16117127;Greens;23-992410129;Fresh;74-241296;Onion;155-101702723;SOGAN;241;ONION GREEN
97;Greengrocer / Produce;16117127;Vegetable;23-10124443;Fresh;74-241296;Onion;155-101702723;SOGAN;242;ONION ADAPAZARI
98;Greengrocer / Produce;16117127;Fruit;23-612499117;Fresh;74-241296;Apple;155-24612331;ELMA;245;APPLE IMPORT
99;Greengrocer / Produce;16117127;Fruit;23-612499117;Fresh;74-241296;Grapes;155-1121126143;UZUM;246;GRAPE KUREYSH
100;Cosmetics;141829166;Oral Care Products;22-23702943;Toothbrushes-Floss;65-512123;Dental Floss;133-651012931;COLGATE;251;COLGATE. EXTERNAL IPI 50 M*6*
101;Cosmetics;141829166;Personal Care;19-602910129;Skin Care;22-3121524;Cleansing Tonics;33-97436197;NEUTROGENA;253;NEUT. DEEP CLEAN TONIC 200 ML
102;Home;627999999;Electric-Electronic;17-24312460;Battery;35-20121599;Small Batteries;64-293816629;KODAK;255;BATTERY KODAK AAA*4 MAX ALKALINE SLIM
103;Home;627999999;Electric-Electronic;17-24312460;Battery;35-20121599;Pencil Batteries;64-60612924;KODAK;256;BATTERY KODAK AA*4 ULTRA ALKALINE PEN
104;Home;627999999;Books-Magazines-Stationery;17-60299723;Stationery;37-14122124;Stationery Supplies;70-60239970;KIRTASIYELER;263;BLANK CD 10 PIECES
105;Home;627999999;Books-Magazines-Stationery;17-60299723;Stationery;37-14122124;Stationery Supplies;70-60239970;KIRTASIYELER;264;OFICA DOUBLE-SIDED TAPE 25MMX25
106;Home;627999999;Books-Magazines-Stationery;17-60299723;Stationery;37-14122124;Stationery Supplies;70-60239970;KIRTASIYELER;265;LETS WATERCOLOR 8 COLORS
107;Home;627999999;Textile-Clothing-Accessories;12-972460101;Laundry;26-31161;Women’s Underwear;39-42723101;KOZA;266;KOZA 999 FEMALE BADI M
108;Greengrocer / Produce;16117127;Vegetable;23-10124443;Fresh;74-241296;Potato;87-929797101;PATATES;269;GOLBASI POTATO PAK.
109;Greengrocer / Produce;16117127;Vegetable;23-10124443;Fresh;74-241296;Cucumber;155-101319731;SALATALIK;270;CUCUMBER
110;Greengrocer / Produce;16117127;Fruit;23-612499117;Fresh;74-241296;Pear;155-236197112;ARMUT;273;PEAR WINTER
111;Cleaning;246161229;Fragrances;15-609060112;Air Fresheners;88-185199;Air Fresheners;193-60239031;CARPEX;274;CARPEX DOUBLE ROOT. AIR CONDITIONING Y.ARABA S. ESIN.
112;Cosmetics;141829166;Body-Hand Care;22-11711238112;Creams;71-1421616;Body-Hand Creams;33-117973175;NEUTROGENA;278;NEUT.HAND CREAM PERFUMED 56 ML
113;Cosmetics;141829166;Personal Care;19-602910129;Skin Care;22-3121524;Beauty Soaps;33-70316023;NEUTROGENA;279;NEUT. ACNE SOAP 100 GR
114;Home;627999999;Books-Magazines-Stationery;17-60299723;Stationery;37-14122124;Stationery Supplies;70-60239970;KIRTASIYELER;288;MELISA KONTROL MLS-689 PEN
115;Home;627999999;Books-Magazines-Stationery;17-60299723;Stationery;37-14122124;Stationery Supplies;70-60239970;KIRTASIYELER;289;OFICA WIRE STAPLER
116;Home;627999999;Books-Magazines-Stationery;17-60299723;Stationery;37-14122124;Stationery Supplies;70-60239970;KIRTASIYELER;290;OFICA BALLPOINT PEN FTU-11
117;Greengrocer / Produce;16117127;Vegetable;23-10124443;Fresh;74-241296;Eggplant;156-92972923;PATLICAN;295;STUFFED EGGPLANT
118;Cleaning;246161229;Fragrances;15-609060112;Air Fresheners;88-185199;Air Fresheners;193-60239031;CARPEX;298;CARPEX DUAL SCENT AIR CONDITIONER SUMMER/ALPINE BREEZE
119;Home;627999999;Electric-Electronic;17-24312460;Battery;35-20121599;Small Batteries;64-293816629;KODAK;303;BATTERY KODAK AAA 6+2 MAX ALKALINE SLIM
120;Toy;182825173;Educational Toys;25-43246023;Toys;78-18282517;Baby Toy;158-416611223;OYUNCAK;307;ARTICULATED BUS
121;Toy;182825173;Educational Toys;25-43246023;Toys;78-18282517;Baby Toy;158-416611223;OYUNCAK;308;TOY BATTERY-POWERED MILITARY HELICOPTER
122;Home;627999999;Books-Magazines-Stationery;17-60299723;Stationery;37-14122124;Stationery Supplies;70-60239970;KIRTASIYELER;309;LETS BLUE STICK 40GR SNAP.
123;Home;627999999;Books-Magazines-Stationery;17-60299723;Stationery;37-14122124;Stationery Supplies;70-60239970;KIRTASIYELER;310;FUNCTIONAL CALCULATOR
124;Home;627999999;Books-Magazines-Stationery;17-60299723;Stationery;37-14122124;Stationery Supplies;70-60239970;KIRTASIYELER;311;OFICA INVISIBLE TAPE 33MT
125;Greengrocer / Produce;16117127;Greens;23-992410129;Fresh;74-241296;Lettuce;155-61753190;MAROL;315;MAROL MERSIN
126;Greengrocer / Produce;16117127;Greens;23-992410129;Fresh;74-241296;Lettuce;155-61753190;MAROL;317;ELB. LETTUCE BELLY
127;Greengrocer / Produce;16117127;Vegetable;23-10124443;Fresh;74-241296;Tomato;92-656197101;DOMATES;319;TOMATO TARSUS
128;Greengrocer / Produce;16117127;Vegetable;23-10124443;Fresh;74-241296;Tomato;92-656197101;DOMATES;320;TOMATO NATIVE
129;Greengrocer / Produce;16117127;Vegetable;23-10124443;Fresh;74-241296;Tomato;92-656197101;DOMATES;321;ZEBRA COCKTAIL TOMATOES
130;Cosmetics;141829166;Body-Hand Care;22-11711238112;Creams;71-1421616;Body-Hand Creams;33-117973175;NEUTROGENA;324;NEUT.HAND CREAM WITHOUT PERFUME 56 ML
131;Cleaning;246161229;Fragrances;15-609060112;Air Fresheners;88-185199;Air Fresheners;193-60239031;CARPEX;325;CARPEX TYPES AIR CONDITIONING FRAGRANCE TROPICAL
132;Home;627999999;Electric-Electronic;17-24312460;Battery;35-20121599;Small Batteries;64-293816629;KODAK;327;BATTERY KODAK AAA 6+2 MAX ALKALINE SLIM
133;Toy;182825173;Educational Toys;25-43246023;Toys;78-18282517;Baby Toy;158-416611223;OYUNCAK;330;TOY TRAIN LEGO - 44 PRC
134;Home;627999999;Kitchen Utensils;17-6111297100;Kitchen Utensils;39-1625247;Other Mugs;73-65707560;UDAG;331;PRT. UDAG WA0049 CUP
135;Greengrocer / Produce;16117127;Greens;23-992410129;Fresh;74-241296;Lettuce;155-61753190;MAROL;333;LETTUCE BELLY
136;Greengrocer / Produce;16117127;Greens;23-992410129;Fresh;74-241296;Radish;155-977592112;TURP;339;RADISH WHITE
137;Greengrocer / Produce;16117127;Fruit;23-612499117;Fresh;74-241296;Pear;155-236197112;ARMUT;342;PEAR LEMON
138;Greengrocer / Produce;16117127;Fruit;23-612499117;Fresh;74-241296;Mandarin;155-61272329;MANDALINA;343;TANGERINE PEAR BED
139;Confectionery;22614621;Chewing Gum-Confectionery;27-101236029;Festive Confectionery;81-222128;Soft Candy;164-9910116660;SOLEN;348;MR. DRY. SOLEN BOUTIQUE PORT. DOL. TOF.
140;Confectionery;22614621;Chewing Gum-Confectionery;27-101236029;Festive Confectionery;81-222128;Gift Candy;165-29616024;KENT;349;MR. DRY. KENT GRAND BT. HAZELNUT 3 KG
141;Confectionery;22614621;Chewing Gum-Confectionery;27-101236029;Festive Confectionery;81-222128;Gift Candy;165-29616024;ULKER;350;MR. DRY. ÜLKER BONBON MILK. T.YAG
142;Confectionery;22614621;Chewing Gum-Confectionery;27-101236029;Festive Confectionery;81-222128;Gift Candy;165-29616024;KENT;351;MR. DRY. KENT BON. FULL MILK *1*
143;Confectionery;22614621;Chewing Gum-Confectionery;27-101236029;Confectionery;81-226146;Soft Candy;164-9910116660;BEBETO;352;BEBETO SOFT NAP
144;Greengrocer / Produce;16117127;Fruit;23-612499117;Fresh;74-241296;Apple;155-24612331;ELMA;368;GOLBASI APPLE SUMMER
145;Confectionery;22614621;Chewing Gum-Confectionery;27-101236029;Festive Confectionery;81-222128;Soft Candy;164-9910116660;SOLEN;370;MR. DRY. SOLEN BUTIK BON. MIXED KG.
146;Toy;182825173;Educational Toys;25-43246023;Toys;78-18282517;Baby Toy;158-416611223;OYUNCAK;378;TOY 23X15 ARMBAND
147;Home;627999999;Electric-Electronic;17-24312460;Battery;35-20121599;Pencil Batteries;64-60612924;KODAK;380;BATTERY KODAK XTRA HEAVY 9 V BLISTER
148;Home;627999999;Electric-Electronic;17-24312460;Battery;35-20121599;Rechargeable Battery;64-1017531166;KODAK;381;BATTERY KODAK RECHARGEABLE BATTERY AA*2
149;Home;627999999;Books-Magazines-Stationery;17-60299723;Stationery;37-14122124;Stationery Supplies;70-60239970;KIRTASIYELER;384;BD030 BDMINTON
150;Home;627999999;Books-Magazines-Stationery;17-60299723;Stationery;37-14122124;Stationery Supplies;70-60239970;KIRTASIYELER;385;45 MM X 40 MM TAPE
151;Home;627999999;Books-Magazines-Stationery;17-60299723;Stationery;37-14122124;Stationery Supplies;70-60239970;KIRTASIYELER;386;OFICA METAL PENCIL SHARPENER YED.
152;Home;627999999;Books-Magazines-Stationery;17-60299723;Stationery;37-14122124;Stationery Supplies;70-60239970;KIRTASIYELER;387;OFICA NOTE PAPER BOXED YELLOW
153;Home;627999999;Books-Magazines-Stationery;17-60299723;Stationery;37-14122124;Stationery Supplies;70-60239970;KIRTASIYELER;388;LETS STEEL FLASK 350 ML.
154;Home;627999999;Textile-Clothing-Accessories;12-972460101;Laundry;26-31161;Women’s Underwear;39-42723101;KOZA;391;KOZA 998 FEMALE BADI -M
155;Greengrocer / Produce;16117127;Greens;23-992410129;Fresh;74-241296;Lettuce;155-61753190;MAROL;392;LETTUCE
156;Greengrocer / Produce;16117127;Greens;23-992410129;Fresh;74-241296;Lettuce;155-61753190;MAROL;395;ELB. LETTUCE
157;Toy;182825173;Educational Toys;25-43246023;Toys;78-18282517;Baby Toy;158-416611223;OYUNCAK;402;PRT. TOY PLUSH CHICK KARMA
158;Toy;182825173;Educational Toys;25-43246023;Toys;78-18282517;Baby Toy;158-416611223;OYUNCAK;403;TOY MERMAID DOLL
159;Greengrocer / Produce;16117127;Greens;23-992410129;Fresh;74-241296;Lettuce;155-61753190;MAROL;405;PURPLE CURLY
160;Greengrocer / Produce;16117127;Greens;23-992410129;Fresh;74-241296;Lettuce;155-61753190;MAROL;410;GOLBASI MAROL AKDENIZ
161;Greengrocer / Produce;16117127;Vegetable;23-10124443;Fresh;74-241296;Pepper;87-447524;BIBER;411;PEPPER ALBANIAN
162;Greengrocer / Produce;16117127;Fruit;23-612499117;Fresh;74-241296;Pear;155-236197112;ARMUT;415;PEAR NATIVE
163;Greengrocer / Produce;16117127;Fruit;23-612499117;Fresh;74-241296;Plum;155-24296075;ERIK;416;ERIK ITALIAN
164;Home;627999999;Electric-Electronic;17-24312460;Battery;35-20121599;Pencil Batteries;64-60612924;KODAK;426;BATTERY KODAK XTRA HEAVY AA*4 PEN
165;Home;627999999;Electric-Electronic;17-24312460;Battery;35-20121599;Small Batteries;64-293816629;KODAK;427;BATTERY KODAK AAA*4 ULTRA ALKALINE THIN
166;Home;627999999;Books-Magazines-Stationery;17-60299723;Stationery;37-14122124;Stationery Supplies;70-60239970;KIRTASIYELER;433;OFICA FH3750 CALCULATOR
167;Home;627999999;Books-Magazines-Stationery;17-60299723;Stationery;37-14122124;Stationery Supplies;70-60239970;KIRTASIYELER;434;LET S 12 COLOR CRAYONS
168;Home;627999999;Books-Magazines-Stationery;17-60299723;Stationery;37-14122124;Stationery Supplies;70-60239970;KIRTASIYELER;435;BALLPOINT PEN RING
169;Home;627999999;Textile-Clothing-Accessories;12-972460101;Laundry;26-31161;Women’s Underwear;39-42723101;KOZA;436;KOZA 203 WOMEN UNDERSHIRT M
170;Greengrocer / Produce;16117127;Vegetable;23-10124443;Fresh;74-241296;Potato;87-929797101;PATATES;438;POTATO WINTER BAG
171;Greengrocer / Produce;16117127;Vegetable;23-10124443;Fresh;74-241296;Pepper;87-447524;BIBER;440;STUFFED PEPPERS
172;Greengrocer / Produce;16117127;Vegetable;23-10124443;Fresh;74-241296;Pepper;87-447524;BIBER;441;STUFFED PEPPERS ARE LOCAL
173;Greengrocer / Produce;16117127;Vegetable;23-10124443;Fresh;74-241296;Pepper;87-447524;BIBER;442;PEPPER POINTED
174;Greengrocer / Produce;16117127;Vegetable;23-10124443;Fresh;74-241296;Potato;87-929797101;PATATES;443;POTATOES WINTER
175;Greengrocer / Produce;16117127;Fruit;23-612499117;Fresh;74-241296;Apple;155-24612331;ELMA;444;APPLE ARGENTINA
